time,F_Tbar,z_Tbar
8.190000,4.151073,-23.605510
8.200000,4.215408,-23.600252
8.210000,4.153266,-23.638667
8.220000,4.226374,-23.699724
8.230000,4.382825,-23.792453
8.240000,4.120368,-23.850499
8.250000,4.042142,-23.850499
8.260000,4.095511,-23.847489
8.270000,4.061150,-23.883656
8.280000,4.045797,-23.893451
8.290000,4.046529,-23.876872
8.300000,4.066268,-23.890441
8.310000,4.028983,-23.962055
8.320000,4.034832,-24.067589
8.330000,4.077234,-24.137677
8.340000,4.061150,-24.147471
8.350000,4.162770,-24.130130
8.360000,4.233685,-24.108294
8.370000,4.195669,-24.095489
8.380000,4.054571,-24.111304
8.390000,4.063344,-24.151245
8.400000,4.119637,-24.234901
8.410000,4.079427,-24.307278
8.420000,3.828667,-24.325383
8.430000,3.763601,-24.319363
8.440000,3.936136,-24.343446
8.450000,4.083083,-24.355530
8.460000,4.116712,-24.359304
8.470000,4.098435,-24.393224
8.480000,4.063344,-24.481417
8.490000,3.884960,-24.568083
8.500000,3.832322,-24.625366
8.510000,3.947102,-24.643471
8.520000,4.066268,-24.614808
8.530000,4.089663,-24.569609
8.540000,4.036294,-24.528905
8.550000,4.007051,-24.518347
8.560000,3.896657,-24.580167
8.570000,3.898119,-24.704527
8.580000,3.991698,-24.794247
8.590000,4.042142,-24.806288
8.600000,4.010705,-24.782162
8.610000,4.082352,-24.785173
8.620000,4.096973,-24.818330
8.630000,4.068461,-24.819856
8.640000,4.027521,-24.807815
8.650000,4.029714,-24.848519
8.660000,4.170812,-24.923864
8.670000,4.271701,-24.978900
8.680000,4.165695,-25.040720
