time,F_Tbar,z_Tbar
5.580000,59.550861,-4.687021
5.590000,59.553055,-4.679516
5.600000,59.562557,-4.668958
5.610000,59.596920,-4.670442
5.620000,59.604961,-4.681000
5.630000,59.569870,-4.680237
5.640000,59.517231,-4.671968
5.650000,59.529659,-4.666668
5.660000,59.572063,-4.668195
5.670000,59.580105,-4.669679
5.680000,59.519424,-4.668958
5.690000,59.566216,-4.668958
5.700000,59.627625,-4.673452
5.710000,59.637859,-4.697578
5.720000,59.589607,-4.731499
5.730000,59.580105,-4.735272
5.740000,59.593994,-4.725478
5.750000,59.618122,-4.717167
5.760000,59.589607,-4.712673
5.770000,59.577911,-4.717930
5.780000,59.539165,-4.724715
5.790000,59.586685,-4.730735
5.800000,59.611542,-4.744303
5.810000,59.595459,-4.747356
5.820000,59.554516,-4.740572
5.830000,59.555248,-4.736799
5.840000,59.550861,-4.735272
5.850000,59.558170,-4.745067
5.860000,59.522350,-4.751088
5.870000,59.548668,-4.753377
5.880000,59.585220,-4.757151
5.890000,59.604229,-4.759398
5.900000,59.599842,-4.757151
5.910000,59.583031,-4.758635
5.920000,59.621777,-4.768429
5.930000,59.664909,-4.775213
5.940000,59.659794,-4.775977
5.950000,59.599842,-4.772966
5.960000,59.531853,-4.774493
5.970000,59.516502,-4.769193
5.980000,59.566944,-4.760924
5.990000,59.596188,-4.763935
6.000000,59.604229,-4.774493
6.010000,59.599113,-4.773729
6.020000,59.553787,-4.771440
6.030000,59.573524,-4.759398
6.040000,59.583759,-4.752614
6.050000,59.598381,-4.754861
6.060000,59.553055,-4.754861
6.070000,59.490913,-4.744303
6.080000,59.513577,-4.739809
6.090000,59.523079,-4.748840
6.100000,59.511383,-4.757872
6.110000,59.541359,-4.757872
6.120000,59.618122,-4.751851
6.130000,59.604961,-4.753377
6.140000,59.556709,-4.751088
6.150000,59.604961,-4.751088
6.160000,59.588879,-4.752614
6.170000,59.545742,-4.736035
6.180000,59.548668,-4.731499
6.190000,59.520157,-4.760161
6.200000,59.508457,-4.778987
6.210000,59.550129,-4.763172
6.220000,59.638592,-4.720220
6.230000,59.621777,-4.689310
6.240000,59.542088,-4.685537
6.250000,59.539894,-4.698342
6.260000,59.644440,-4.709662
6.270000,59.651749,-4.706652
6.280000,59.575718,-4.703599
6.290000,59.517963,-4.711910
6.300000,59.539165,-4.723231
6.310000,59.597649,-4.722467
6.320000,59.588146,-4.716446
6.330000,59.593266,-4.695331
6.340000,59.576450,-4.697578
6.350000,59.564751,-4.708136
6.360000,59.595459,-4.699105
6.370000,59.606422,-4.687021
6.380000,59.596188,-4.692321
6.390000,59.514309,-4.705126
6.400000,59.523079,-4.714157
6.410000,59.574257,-4.723951
6.420000,59.613735,-4.728488
6.430000,59.558170,-4.723231
6.440000,59.550129,-4.711910
6.450000,59.576450,-4.710383
6.460000,59.580105,-4.714920
6.470000,59.565483,-4.717930
6.480000,59.570599,-4.719457
6.490000,59.588146,-4.709662
6.500000,59.584492,-4.705889
6.510000,59.539165,-4.708899
6.520000,59.536240,-4.717930
6.530000,59.544281,-4.720220
6.540000,59.600574,-4.713436
6.550000,59.612270,-4.701352
6.560000,59.577179,-4.697578
6.570000,59.543552,-4.697578
6.580000,59.634205,-4.702115
6.590000,59.647366,-4.702878
6.600000,59.597649,-4.702878
6.610000,59.549400,-4.702115
6.620000,59.554516,-4.701352
6.630000,59.527466,-4.699868
6.640000,59.558170,-4.698342
6.650000,59.539165,-4.697578
6.660000,59.564022,-4.692321
6.670000,59.553055,-4.691557
6.680000,59.561096,-4.698342
6.690000,59.576450,-4.705126
6.700000,59.552322,-4.711146
6.710000,59.536972,-4.722467
6.720000,59.485065,-4.738283
6.730000,59.534046,-4.749604
6.740000,59.572792,-4.757151
6.750000,59.579372,-4.757872
6.760000,59.569138,-4.759398
6.770000,59.588146,-4.765419
6.780000,59.588879,-4.766945
6.790000,59.579372,-4.764656
6.800000,59.543552,-4.761645
6.810000,59.596188,-4.757151
6.820000,59.602036,-4.754140
6.830000,59.577911,-4.760924
6.840000,59.569870,-4.771440
6.850000,59.574986,-4.780513
6.860000,59.569138,-4.783524
6.870000,59.528931,-4.787297
6.880000,59.503342,-4.790308
6.890000,59.501148,-4.788061
6.900000,59.526005,-4.782761
6.910000,59.608616,-4.774493
6.920000,59.633472,-4.985519
6.930000,59.563290,-5.490550
6.940000,59.541359,-5.758902
6.950000,59.618122,-5.823732
6.960000,59.691227,-5.899120
6.970000,59.667835,-5.959413
6.980000,59.623238,-5.976755
6.990000,59.599842,-5.973744
7.000000,59.585953,-5.954155
7.010000,59.561096,-5.962423
7.020000,59.501881,-6.000117
7.030000,59.521618,-6.000117
7.040000,59.555248,-6.059690
7.050000,59.625431,-6.137325
7.060000,59.682457,-6.161451
7.070000,59.612270,-6.184050
7.080000,59.571331,-6.238323
7.090000,59.574986,-6.220218
7.100000,59.577179,-6.199865
7.110000,59.590340,-6.219497
7.120000,59.604229,-6.268469
7.130000,59.541359,-6.395882
7.140000,59.559635,-6.498364
7.150000,59.604229,-6.519479
7.160000,59.553055,-6.527027
